Quantity,Last purchase (days),Transactions Amount,Number of Transactions
96,22,177.31,11
3354,17,3214.81,95
1181,15,1339.4099999999999,92
7404,5,13612.069999999998,474
69,233,180.09999999999997,11
191,129,305.1,18
355,107,641.1300000000001,38
1577,5,2614.3199999999997,91
3350,24,6388.3499999999985,307
2752,11,4478.53,230
445,19,769.6099999999998,43
548,10,1270.8799999999999,64
236,58,640.5000000000002,31
1149,0,2140.6299999999997,103
1172,31,1689.18,101
2990,92,5953.25,394
577,182,671.69,39
201,239,486.1,22
311,24,1174.58,53
72,116,185.9,10
552,26,1013.26,47
1808,39,3344.6400000000003,24
325,305,477.9100000000001,31
1072,110,1755.3800000000006,74
897,50,1346.9700000000003,45
1420,23,3669.9200000000005,128
160,125,318.05,21
574,35,603.7099999999999,33
254,181,314.44,20
78,100,114.00000000000003,9
502,9,914.5299999999997,51
919,149,2209.8500000000004,43
264,11,601.98,38
1708,2,3982.720000000002,130
654,12,1152.06,56
320,19,686.0500000000001,36
105,60,91.68,5
127,12,245.10000000000002,13
2040,23,3817.079999999998,232
1202,0,4863.879999999999,38
36,9,61.75,4
-56,360,-227.44,2
395,0,620.13,33
1595,12,3743.180000000002,168
1114,3,1607.7300000000002,102
1391,11,2986.1500000000005,94
78,330,225.9,10
351,242,610.52,42
1102,12,1919.3100000000002,91
670,25,1331.3900000000006,45
10899,43,17588.260000000002,167
530,0,1058.67,56
443,31,862.81,52
7518,15,13677.59,646
5575,2,12288.219999999998,525
4903,5,8221.09,362
1985,25,2283.6299999999997,105
1523,29,2863.0800000000004,157
107,638,89.14,7
3028,114,4873.810000000005,171
628,26,1247.61,72
106,206,389.00999999999993,16
394,0,1035.8,32
250,5,830.9599999999997,41
509,71,869.6699999999998,37
220,108,582.1,27
499,22,939.02,43
2963,127,4867.990000000006,270
678,36,797.7099999999999,53
53,20,219.0,12
161,71,274.69999999999993,22
1003,23,2220.84,90
3973,16,6814.240000000004,348
256,292,603.42,33
1270,37,2616.320000000001,174
3832,0,9294.099999999993,257
849,202,1130.5700000000006,79
1044,9,4241.629999999999,142
508,89,848.5499999999998,38
3069,10,4708.859999999994,259
197,107,353.85999999999996,21
708,134,1053.4899999999996,69
505,33,980.98,56
203,72,238.25000000000003,19
361,30,608.0999999999999,42
4654,3,5713.2800000000025,359
1954,80,2628.980000000001,164
560,3,904.33,57
434,17,725.0699999999998,69
445,39,1031.4099999999999,53
164,638,427.79999999999995,24
3143,29,2609.1000000000004,124
2085,11,3947.7000000000003,141
419,39,836.3299999999999,46
233,114,453.0100000000001,26
8366,24,18793.410000000007,277
111,180,236.2600000000001,12
137,235,383.95,22
88,353,110.39999999999999,4
368,192,779.5699999999998,43
173,39,234.00000000000003,4
148,665,155.35,11
486,79,1013.0400000000001,38
342,153,427.5999999999999,27
319,135,546.4299999999997,134
5234,52,9120.39,229
1275,23,4196.010000000001,103
24210,4,29072.100000000413,4642
1422,23,3868.2000000000016,231
137,277,275.88,15
2262,82,4366.779999999999,53
11250,23,21024.010000000002,230
6479,160,2949.12,65
866,160,2203.1999999999994,6
144,87,112.08000000000001,4
2385,4,4227.7000000000035,377
2135,117,2791.590000000001,97
902,53,1531.4400000000007,95
1227,26,1898.5200000000004,69
316,139,494.08,18
386,317,1693.8800000000003,45
3646,58,6989.629999999999,310
356,239,1143.6000000000001,32
743,211,1351.4499999999998,12
556,30,892.4700000000004,55
853,18,1351.2400000000002,67
824,20,804.2300000000001,51
1996,22,3868.700000000003,159
592,22,707.72,30
1070,150,2273.3200000000015,107
622,54,1603.8699999999997,86
300,10,574.42,59
128,151,305.71,15
261,10,463.65999999999997,20
4,214,91.85000000000001,4
166,193,324.9200000000001,21
97,697,192.60000000000002,2
217,257,400.54,25
295,100,545.48,24
592,54,860.4099999999999,45
68,19,430.4800000000001,14
79,361,194.18,17
5256,11,6977.039999999999,8
302,95,412.5799999999999,26
188,126,483.65000000000015,28
219,169,484.36,26
230,261,514.85,31
164,45,229.63999999999993,15
49,102,125.92,2
379,148,1063.46,47
128,177,572.2,29
53,282,166.04,4
923,179,1517.8799999999999,16
722,45,942.3399999999999,59
70,96,92.72,6
548,71,918.9799999999999,47
230,75,1759.5,5
232,30,397.11999999999995,25
1054,60,1468.1199999999997,94
197,45,430.15,25
494,113,1018.7100000000003,56
375,162,253.05,12
9847,92,6748.4000000000015,39
135,263,215.05,9
195,152,383.03000000000003,27
156,146,417.37999999999994,24
110,310,312.38,18
1064,30,2612.8599999999988,175
24,174,134.1,12
359,182,683.1299999999994,123
3804,12,5583.620000000003,316
1505,65,2714.269999999999,116
2683,4,3876.399999999998,439
547,71,1118.99,34
753,66,1680.76,108
125,60,325.9599999999999,52
204,268,354.09000000000003,27
909,23,871.5399999999998,91
623,121,1050.8899999999999,51
109,245,135.17999999999995,50
145,291,299.75,20
782,96,1881.6999999999998,84
622,6,1289.1500000000003,115
30,666,38.1,3
1076,19,2162.680000000001,317
343,69,1106.4000000000003,46
186,53,504.20000000000005,6
216,139,147.12,3
877,27,1548.0699999999993,96
171,341,559.1199999999999,26
4274,27,3986.2199999999953,551
928,9,1607.0600000000009,107
-2,485,-14.899999999999999,2
200,85,380.64000000000004,11
319,327,599.9699999999998,66
128,310,374.0,4
2019,144,343.2300000000001,2
1941,58,2218.0200000000004,85
1178,25,1535.7700000000007,154
536,19,841.6399999999999,49
363,45,552.57,12
21,98,298.0,7
246,10,1463.0399999999995,13
196,25,703.4700000000001,42
43,1,309.05000000000007,7
654,32,1158.2699999999995,72
761,66,1351.0900000000001,86
68,96,313.77,7
259,24,380.46999999999997,82
950,157,331.0,3
96,90,188.14,34
204,43,347.29999999999995,24
110,38,216.5,4
20915,11,16293.099999999997,125
66,265,138.68,10
302,19,509.57999999999976,72
1749,12,2919.809999999999,63
1270,40,2128.83,96
1692,6,3075.0400000000013,75
670,15,1662.3,24
1419,16,2483.6299999999997,50
93,149,363.65,22
1111,139,2982.350000000001,109
120,277,594.0,2
668,2,1301.4399999999998,52
129,18,164.23000000000002,28
9454,4,16389.740000000016,741
370,337,405.38,28
69,183,176.97,29
480,1,929.9500000000003,31
541,75,694.0499999999998,45
1472,6,2062.6999999999994,84
36,93,105.10000000000001,9
250,79,409.90000000000003,27
23377,22,33462.810000000005,102
498,25,606.2799999999999,107
1852,27,2156.4499999999994,130
539,17,1012.9000000000003,63
1007,16,1504.2700000000004,120
140,26,114.14,9
4876,37,11581.8,47
406,47,876.29,103
203,132,683.9000000000001,75
-1,38,-3.75,1
289,243,604.51,30
165,289,462.95000000000005,23
1157,65,1407.29,103
1077,17,2053.7,118
2363,90,4143.020000000001,219
1380,25,1843.0,23
500,164,1042.0700000000002,65
652,44,1382.8400000000004,80
84,10,329.84999999999997,17
3642,17,4734.259999999999,183
34,191,108.07,19
2531,10,3979.0400000000022,244
129,114,266.39000000000004,16
873,11,1841.0299999999995,96
283,31,771.9099999999996,109
75,10,160.18,10
243,69,1194.7500000000002,33
73,113,135.95,5
310,301,452.23999999999995,151
9203,9,10930.259999999998,308
24,198,144.8,8
561,5,738.6,22
12,186,39.24,9
864,9,7092.06,24
242,60,372.21999999999997,20
278,36,377.2,34
26,19,97.5,4
1413,29,1215.6200000000001,78
217,74,545.0,30
136,293,535.32,92
2915,1,6854.509999999997,68
200,121,409.50000000000006,13
405,24,503.76,31
240,24,414.75999999999993,27
440,32,902.2200000000001,73
98,78,200.72,5
648,1,1197.94,67
342,128,455.8799999999999,28
379,107,534.8500000000001,31
5497,23,9797.920000000013,342
73,319,120.94999999999999,7
103,33,149.05,6
4796,12,5613.429999999999,409
167,128,468.95000000000005,29
55,57,81.57,4
115,324,178.47,15
13,665,50.550000000000004,3
671,10,1311.6200000000008,107
2217,3,4786.990000000001,222
886,11,3365.4300000000003,124
1617,54,3346.2800000000016,176
527,74,789.8899999999996,47
48,301,204.0,1
5434,17,7272.749999999996,459
1336,26,2584.3999999999996,134
286,183,689.9000000000001,40
1586,25,936.1499999999997,43
17280,114,6912.0,26
796,23,659.6800000000001,47
134,90,1247.5,10
394,12,799.4800000000001,99
367,53,996.5199999999999,75
83,358,190.54999999999998,11
369,55,642.77,37
627,58,886.6300000000001,30
431,139,881.07,48
360,81,908.46,28
355,182,676.9900000000001,43
251,37,471.57000000000005,14
429,292,560.4700000000001,33
221,335,305.28,18
264,90,629.31,35
1355,47,3079.1000000000013,196
1230,15,1805.9099999999994,137
268,183,656.6800000000002,14
3707,9,5684.610000000003,422
222,35,348.15000000000003,18
891,66,1201.96,78
52,0,271.4,8
35,250,183.4,8
123,254,307.53000000000003,15
107,73,248.61,10
343,338,346.98,11
516,1,1119.4900000000005,69
74,697,205.85999999999999,14
320,25,430.9000000000001,49
32,83,115.46000000000002,15
200,11,344.0,2
5466,2,3717.819999999998,470
110,193,228.8,9
69,267,177.14999999999998,7
485,305,919.61,22
863,119,729.2700000000001,112
5557,0,12432.279999999997,380
62,22,220.09999999999997,6
120,180,58.08,6
19021,12,27964.480000000047,1061
4313,177,3595.4800000000005,75
187,76,303.75,18
108,217,272.38,29
30787,6,57385.880000000114,1857
2194,20,8689.390000000003,161
450,22,319.82,24
271,5,459.83,26
3943,9,7741.47,170
1542,22,1708.8600000000006,30
144,71,74.4,6
2341,78,5893.319999999993,437
15911,6,28658.880000000012,605
288,334,207.35999999999999,1
113,235,101.18999999999998,8
4160,24,6336.290000000001,310
82,40,243.94,8
504,47,1098.48,20
14,134,59.5,2
1288,45,1524.0700000000004,60
298,666,350.05999999999995,10
514,30,766.84,50
384,54,1452.8700000000006,146
2594,5,10510.000000000007,280
1534,0,2205.6300000000006,132
290,118,485.19000000000005,31
945,22,984.9099999999996,76
389,20,1124.9999999999993,82
12,239,30.599999999999998,1
227,270,254.7299999999999,53
585,184,922.3900000000002,55
2147,31,3866.3299999999977,235
2130,39,2056.29,142
127,78,259.16999999999996,15
32,184,64.0,2
443,24,1039.2999999999997,46
20,262,77.3,3
32,37,109.80000000000001,7
1044,73,1740.6299999999999,105
4300,197,3096.0,1
1312,0,2545.3800000000006,139
2225,11,3605.0799999999995,705
473,23,962.3900000000001,63
2418,17,5055.790000000004,174
186,109,423.71999999999997,46
1547,85,2385.7999999999993,136
258,20,307.0899999999999,23
21,39,110.94999999999999,3
142,40,614.77,7
154,27,228.91,17
144,11,712.8000000000001,4
1828,60,3348.4799999999996,347
1280,15,1676.0599999999997,86
361,204,1250.3700000000003,75
418,242,486.22,15
-1,145,-611.86,1
497,80,971.76,85
1430,6,1721.5699999999993,89
784,2,1201.0600000000004,79
1045,51,1379.7500000000007,122
56,23,91.8,4
29,314,112.75,8
1663,39,1644.9899999999996,82
1376,47,1021.4799999999999,42
214,310,414.69999999999993,42
785,19,791.3300000000002,65
680,200,1310.14,133
272,153,712.88,13
147,27,116.01000000000002,32
227,17,426.8099999999999,48
277,212,353.65000000000003,43
1395,17,2817.0300000000007,314
453,47,492.8400000000001,72
91,183,282.45,17
3570,27,5725.470000000003,265
201,46,121.17999999999999,11
2208,87,3957.7800000000016,94
1662,15,1648.7900000000009,183
12,268,71.4,1
804,32,1539.6900000000003,84
95,191,236.01999999999995,37
25,12,114.60000000000001,2
842,19,260.68,29
595,206,911.9400000000002,63
50,91,117.88000000000001,29
26,136,60.7,3
1224,12,1797.78,110
2645,11,3384.0899999999974,229
6172,11,9803.960000000003,120
516,20,870.09,46
800,10,869.4599999999999,57
130,3,250.26000000000002,8
786,0,1205.8999999999999,150
4232,90,5820.16,329
316,154,353.47999999999996,22
874,11,1197.4199999999998,56
309,10,780.5799999999998,143
1357,57,1518.4300000000003,92
297,268,333.74,5
114,93,133.62000000000003,7
88,246,62.64,5
196,79,819.29,21
244,241,847.4100000000001,66
88,201,163.20000000000002,5
1512,33,2150.8499999999995,109
3352,61,6083.040000000002,34
80,37,108.21000000000001,16
99,202,257.7,9
200,82,358.0,2
63,226,160.95,10
1544,59,2763.4100000000008,612
778,4,1357.6000000000015,207
1004,75,605.1200000000001,43
440,5,101.16999999999973,59
411,1,727.2700000000001,39
296,12,680.8300000000002,32
363,262,329.56,22
298,174,663.6500000000001,67
130,66,270.40000000000003,13
233,204,600.07,58
38,123,121.74000000000001,27
125,51,430.5,16
1552,19,1922.1000000000008,143
328,18,501.12,25
305,155,465.6799999999999,26
546,123,711.41,23
1572,186,1030.3999999999999,36
174,10,390.65999999999997,14
12540,15,0.0,1
287,12,698.5799999999999,38
132,91,292.3199999999999,87
142,91,557.6200000000001,8
210,269,944.1,9
125,264,200.29000000000002,11
4780,5,7454.069999999956,1677
1752,1,2107.6600000000008,91
4299,12,3717.6699999999996,202
1939,9,4404.440000000001,224
3635,6,3167.639999999999,447
3509,1,5315.919999999999,320
200,485,590.0,1
181,302,178.25999999999988,101
96,31,276.56000000000006,15
153,114,138.97999999999996,16
161,153,590.93,30
176,16,258.4,8
537,41,542.73,46
70,78,126.3,11
522,93,814.8600000000001,85
289,5,1047.84,40
90,30,93.66,7
79,323,196.15,14
2051,24,2709.1200000000003,187
233,156,361.10999999999996,42
347,285,578.9399999999999,31
453,250,873.7399999999998,54
81,360,197.95,11
78,138,87.4,5
963,24,2089.8500000000004,59
96,120,360.0,2
30,269,142.5,5
201,165,365.2900000000001,22
345,104,618.0899999999998,81
5,155,63.75,1
238,352,300.4199999999999,21
1232,22,2000.8599999999992,81
4,32,15.0,1
840,23,1367.6100000000001,57
1544,1,1456.7899999999993,107
575,28,1083.63,77
305,3,598.57,26
851,23,1555.3199999999993,78
484,52,578.6600000000001,75
6947,80,5815.490000000002,88
1003,94,2140.0699999999993,135
304,119,640.76,20
4686,0,10664.33999999999,500
1066,4,1491.7000000000003,110
372,73,567.36,11
117,18,199.48,25
175,22,787.85,21
5200,6,7072.799999999994,77
240,82,675.3,12
1588,113,3617.5699999999983,109
680,317,1308.48,17
427,121,740.3999999999999,19
751,123,1140.9299999999996,53
179,15,350.9,21
1774,83,3536.819999999998,268
559,78,795.12,51
247,125,431.82,24
326,201,860.1200000000002,54
5770,46,10736.47999999999,134
301,261,775.8499999999999,42
126,173,303.93,22
971,160,2543.720000000002,119
139,129,377.6000000000001,22
205,71,341.36,8
136,182,233.76,14
225,11,247.31999999999996,16
284,17,910.7199999999998,43
117,244,373.94,16
315,61,389.2800000000001,27
604,72,743.5300000000003,51
314,93,674.7,32
325,81,768.2400000000001,42
322,258,609.9500000000002,90
285,269,439.03000000000003,29
159,30,431.25999999999993,24
1379,10,3085.4899999999984,169
710,18,992.5000000000002,60
1238,182,2191.220000000001,132
144,51,56.160000000000004,1
327,192,623.4,29
127,355,263.75000000000006,19
336,485,721.3200000000003,44
159,31,378.64,23
1651,61,3312.2500000000005,158
441,1,772.8999999999997,38
493,204,1019.7600000000003,53
601,27,572.5599999999997,97
2027,22,3626.8100000000004,173
131,251,222.99,15
2415,46,4122.28,155
281,330,534.5700000000002,35
281,63,627.1500000000001,36
429,12,797.96,51
224,75,544.0799999999999,13
4,204,59.8,1
2215,33,2312.7999999999997,164
336,157,307.72,21
592,22,1325.2899999999997,47
429,73,1539.1799999999998,39
281,193,457.3400000000001,26
479,246,621.2300000000002,39
44,18,75.0,3
111,35,252.48999999999998,11
165,75,572.4509999999999,27
16119,3,27487.409999999985,501
513,25,988.9100000000001,30
72,108,213.55000000000004,18
1574,134,1390.5,24
142,44,712.5000000000001,19
162,206,640.83,28
3839,12,5845.439999999999,314
275,153,221.05999999999995,16
88,135,140.35,10
1180,41,1848.9799999999993,105
1321,52,2601.5500000000006,128
1123,109,1624.2099999999998,78
2224,11,3550.6999999999975,159
545,20,582.6,29
156,11,218.46999999999994,74
1390,11,1006.8000000000001,67
738,19,648.6899999999998,54
672,1,1269.0999999999995,46
300,75,534.24,10
2125,25,3794.49,103
76,120,196.88999999999996,12
1283,15,3408.0599999999995,167
242,256,283.71,54
204,92,296.64000000000004,13
577,24,1104.2300000000002,62
1638,17,3465.6700000000023,199
222,24,291.88,19
1982,27,2043.7200000000003,71
2143,4,2916.45,444
2,260,590.0,2
134,166,356.98,17
345,25,1007.3499999999997,53
756,18,1737.8199999999997,65
5460,6,9537.919999999998,394
286,50,183.44,17
1170,139,1445.0000000000002,27
61,94,143.25,10
403,0,674.6800000000002,41
258,101,297.95000000000005,18
584,11,1083.71,99
2581,0,5656.750000000002,306
100,116,165.0,10
1590,22,2531.579999999998,260
260,39,417.53999999999996,22
132,237,229.58999999999997,64
1012,188,1431.7800000000009,86
414,68,1092.7699999999998,61
1018,5,1441.529999999999,81
133,199,291.0,16
1127,46,1776.809999999999,112
116,233,184.64,11
160,214,140.34000000000003,10
44,6,313.79999999999995,8
277,234,454.24,23
669,79,1122.4099999999999,69
265,58,575.4000000000001,34
4512,9,8910.609999999999,427
560,106,449.52,14
903,39,1215.82,86
408,96,1269.8400000000006,50
380,98,618.63,8
162,342,316.26,18
814,233,1990.1199999999994,52
329,11,617.93,36
159,310,321.04999999999995,20
1358,18,1146.96,45
585,24,1136.7700000000002,67
557,36,1310.4699999999998,53
264,17,292.0,18
248,72,216.84999999999997,17
178,183,295.93,22
2461,73,4282.879999999999,227
321,313,452.82000000000005,29
1597,108,2479.159999999999,162
24,67,110.97,12
1106,37,979.7200000000001,44
1382,46,1785.1599999999983,117
143,261,251.20999999999998,15
109,216,205.09999999999997,10
40,74,152.20000000000002,4
681,73,891.1200000000002,59
985,22,1389.4100000000003,44
1360,30,2109.0699999999997,143
392,86,659.4399999999998,38
22,51,110.8,9
1642,0,3487.749999999999,95
736,11,1093.6500000000003,436
44,90,125.80000000000001,5
1745,47,3755.3800000000006,177
324,41,680.1800000000001,27
394,15,628.78,6
1673,31,2263.76,224
74,79,307.76,15
174,206,483.8000000000001,22
129,182,210.30999999999983,66
204,65,270.79000000000013,76
2876,38,5613.080000000015,342
2136,10,3448.2899999999986,179
175,32,1280.85,25
314,86,605.8400000000001,38
127,40,291.4099999999999,87
359,13,626.9899999999999,98
441,67,682.41,124
457,3,916.1199999999999,52
12,320,91.80000000000001,4
1386,82,3539.530000000001,121
2660,74,4149.2800000000025,136
546,29,584.0600000000001,34
344,24,605.0599999999998,175
64,301,174.37000000000003,33
83,127,141.86,14
757,82,1799.3299999999988,82
209,85,777.5300000000001,49
659,145,647.7400000000006,85
172,20,240.22000000000006,38
575,41,874.7099999999997,176
70,174,192.85000000000005,44
164,18,373.74999999999994,85
161,67,239.49000000000004,27
1759,13,2092.32,341
534,206,1384.25,33
303,51,294.4,26
449,0,732.0699999999997,46
2640,11,6703.3,130
771,1,1658.2999999999988,85
176,15,467.03999999999996,23
30,283,117.99999999999999,10
725,156,781.0300000000002,53
37,191,142.40000000000003,24
160,44,347.0,11
2573,16,2445.119999999998,180
114,15,379.65000000000003,21
1846,3,1976.1199999999992,89
485,183,1117.1300000000003,58
84,66,247.95999999999995,16
707,109,1990.2800000000009,129
359,53,396.96999999999997,26
406,13,697.04,166
57,48,167.4200000000001,41
3169,3,5030.5999999999985,264
324,313,219.51999999999998,19
548,5,693.3200000000002,99
267,183,428.88999999999993,23
164,27,164.34,27
279,59,280.53999999999996,43
290,41,678.0099999999996,98
514,13,1115.4300000000005,228
762,31,1158.2000000000003,76
570,25,1610.460000000001,201
183,313,399.9900000000001,24
300,4,544.18,44
246,174,177.34000000000003,13
343,117,213.85,19
286,90,672.4400000000002,86
209,340,257.22999999999996,19
1266,30,1624.0200000000002,94
4372,24,7792.36,59
1377,76,1995.6799999999998,80
460,134,3021.77,12
1036,25,2117.02,147
704,36,1575.1600000000003,188
677,275,1071.0300000000002,62
586,93,941.6199999999999,64
409,53,810.4999999999998,101
93,16,122.64000000000001,8
800,75,1033.3400000000001,40
173,127,354.7999999999999,66
273,121,519.44,28
2060,17,2597.5200000000013,148
158,32,252.1,5
894,10,1670.22,80
139,257,346.6000000000001,23
918,1,1809.34,98
33,40,94.2,6
578,46,1095.08,63
2182,36,2707.329999999999,166
605,6,932.9700000000004,56
490,165,379.65000000000003,49
209,11,382.13999999999993,16
1009,10,2421.470000000002,112
879,197,1550.8500000000008,108
538,35,879.08,58
91,180,189.47,13
41,61,84.65000000000002,12
154,150,305.0199999999998,87
3637,11,6216.069999999984,501
237,51,218.55,9
282,76,349.70000000000016,25
-1,38,-71.45999999999998,16
119,19,396.9199999999999,65
330,33,486.82000000000005,25
924,33,232.60000000000005,16
1267,40,2202.3099999999995,216
360,18,827.83,57
10,218,59.5,3
38,286,64.23000000000002,31
5056,46,3119.4400000000014,39
70,65,72.0,8
512,153,910.0,6
67,30,172.25,9
1224,25,1466.8700000000006,55
-6,326,-32.0,4
61803,26,62653.10000000003,585
1603,2,2504.1299999999987,90
177,333,151.3,12
66,156,308.58,14
2304,6,2265.119999999999,197
10,319,99.5,1
1528,0,2295.3099999999986,135
363,145,711.8600000000001,28
189,69,330.78999999999996,20
351,267,806.4100000000004,48
306,272,296.87999999999994,51
3501,0,6249.110000000003,346
176,121,180.48000000000002,8
140,219,252.06000000000003,13
352,159,228.83999999999997,10
555,191,1053.9399999999996,108
138,270,138.28,21
1958,57,1432.2600000000002,103
173,159,306.55,12
609,16,1041.68,60
501,117,799.8999999999999,43
316,274,524.14,28
1400,32,2369.1600000000008,86
43,188,199.85000000000002,6
659,38,1809.8100000000002,118
1054,101,1079.6600000000003,42
162,29,333.4800000000001,20
458,108,1016.1399999999999,63
488,136,752.5999999999998,43
278,159,610.5899999999999,38
498,29,491.86,33
1083,25,2766.179999999997,208
493,242,724.0,194
125,201,339.59999999999997,30
54,19,216.9,3
425,241,350.75,23
217,4,666.33,35
1116,17,3102.420000000001,323
1775,1,1340.1499999999996,42
1249,215,1156.36,72
486,33,291.53999999999996,26
8,697,79.6,1
439,159,948.2499999999998,28
516,54,1647.2599999999998,24
152,289,296.24999999999994,9
876,96,1186.2800000000002,76
512,288,741.26,35
214,33,282.6,12
1241,10,2154.680000000001,343
3164,19,5145.119999999995,143
